,Fecha,Precio_blue,Precio_oficial
81,2022-10-25 12:00:59.231445,250.5397155634564,125.63573199458915
82,2022-10-26 12:00:59.231445,250.69715431822988,125.69901705422672
83,2022-10-27 12:00:59.231445,250.85459307300334,125.76230211386428
84,2022-10-28 12:00:59.231445,251.0120318277768,125.82558717350912
85,2022-10-29 12:00:59.231445,251.16947058255028,125.88887223314669
86,2022-10-30 12:00:59.231445,251.32690933732374,125.95215729278425
87,2022-10-31 12:00:59.231445,251.4843480920972,126.01544235242909
88,2022-11-01 12:00:59.231445,251.64178684685612,126.07872741206666
89,2022-11-02 12:00:59.231445,251.7992256016296,126.14201247170422
90,2022-11-03 12:00:59.231445,251.95666435640305,126.20529753134906
91,2022-11-04 12:00:59.231445,252.11410311117652,126.26858259098663
92,2022-11-05 12:00:59.231445,252.27154186594998,126.33186765062419
